ProductName,Price,Image,OS,Processor,Graphics,Display,Memory ,Storage
Aspire 15 Laptop - A15-41M-R2CN,$329.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_02_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"AMD Ryzen 5 7535U (Hexa-core, 2.90 GHz)",AMD Radeon (shared),"15.6"" Full HD (1920 x 1080), 16:9, 60 Hz",8 GB DDR5 SDRAM,512 GB SSD
Aspire Vero Green Laptop - AV14-51-59UW,$329.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_03_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"Intel Core i5-1235U (Deca-core, 1.30 GHz)",Intel Iris X (shared),"14"" Full HD (1920 x 1080), 16:9",8 GB LPDDR4X,512 GB SSD
Acer Chromebook Plus 515 - CB515-2H-31NY,$679.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_04_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,"12th Gen Intel Core i3 (Hexa-core, 1.2 GHz)",Intel UHD (shared),"15.6"" IPS Full HD, ComfyView, LED-backlit",8 GB LPDDR5X,128 GB Universal Flash
Acer Chromebook 314 - CB314-4HT-32X6,$339.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_05_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,"Intel Core i3-N305 (Octa-core, 1.80 GHz)",Intel UHD (shared),"14"" Full HD (1920 x 1080), 16:9, IPS, 60 Hz, Touchscreen",8 GB LPDDR5,128 GB SSD
Acer Chromebook Plus 514 - CB514-3HT-R8RB,$499.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_06_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,"AMD Ryzen 3 7320C (Quad-core, 2.40 GHz)",AMD Radeon (shared),"14"" WUXGA (1920 x 1200), 16:10, IPS, 60 Hz, Touchscreen",8 GB LPDDR5X,128 GB SSD
Aspire 3 Laptop - A317-55P-38EM,$349.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11,"Intel Core i3-N305 (Octa-core, 1.80 GHz)",Intel UHD (shared),"17.3"" HD+ (1600 x 900), 16:9, 60 Hz",8 GB LPDDR5,256 GB SSD
Acer Chromebook Vero 514 - CBV514-1H-38VS,$549.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Chrome OS,"Intel Core i3-1215U (Hexa-core, 1.20 GHz)",Intel UHD (shared),"14"" Full HD (1920 x 1080), 16:9",8 GB LPDDR4X,128 GB SSD
Aspire 3 Laptop - A315-24P-R2SC,$359.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11,"AMD Ryzen 5 7520U (Quad-core, 2.80 GHz)",AMD Radeon,"15.6"" Full HD (1920 x 1080), IPS, ComfyView",8 GB standard,256 GB SSD
Aspire 3 Laptop - A315-24PT-R08Z,$749.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11,"AMD Ryzen 3 7320U (Quad-core, 2.40 GHz)",AMD Radeon (shared),"15.6"" Full HD (1920 x 1080), 16:9, IPS, 60 Hz, Touchscreen",8 GB LPDDR5,256 GB SSD
Aspire 5 Spin 14 Laptop - A5SP14-51MTN-50Z3,$369.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","14"" WUXGA (1920 x 1200) 16:10 60 Hz Touchscreen",8 GB LPDDR5,512 GB SSD
Aspire Vero Green Laptop - AV15-53P-52PG,$399.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","15.6"" Full HD (1920 x 1080) 16:9 60 Hz",8 GB LPDDR5,512 GB SSD
Aspire 5 Laptop - A515-58P-58UR,$449.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","15.6"" Full HD (1920 x 1080) 16:9 60 Hz",8 GB LPDDR5,512 GB SSD
Aspire 15 Laptop - A15-41M-R8Y2,$399.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"AMD Ryzen 5 8640HS, Hexa-core 3.50 GHz","AMD Radeon, shared memory","15.6"" Full HD (1920 x 1080) 16:9 60 Hz",8 GB DDR5 SDRAM,512 GB SSD
Aspire 5 Laptop - A517-58M-59R9,$399.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","17.3"" Full HD (1920 x 1080) 16:9 IPS 60 Hz",16 GB LPDDR5,512 GB SSD
Aspire 15 Laptop - A15-51M-59QV,$449.99,https://static-ecpa.acer.com/static/version1726477526/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg,Windows 11 Home,"Intel Core i5-120U, Deca-core 1.40 GHz","Intel, shared memory","15.6"" Full HD (1920 x 1080) 16:9 IPS 60 Hz",16 GB LPDDR5,512 GB SSD
Nitro V 15 Gaming Laptop - ANV15-51-532J,$769.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-01-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-13420H, Octa-core 2.10 GHz","NVIDIA GeForce RTX 3050, 6 GB memory","15.6"" Full HD (1920 x 1080) 16:9 IPS 144 Hz",8 GB DDR5 SDRAM,512 GB SSD
Aspire Vero 16 Laptop - AV16-51P-5641,$649.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-02-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core Ultra 5 125U, Dodeca-core","Intel, shared memory","16"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz",16 GB LPDDR5X,512 GB SSD
Acer Chromebook Spin 514 - CP514-3HH-R6VK,$749.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-03-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,"AMD Ryzen 5 5625C, Hexa-core 2.30 GHz",Memory,"14"" Full HD (1920 x 1080) 16:9 Touchscreen",8 GB LPDDR4X,128 GB Storage
Swift Go 14 Laptop - SFG14-42-R2TL,$649.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-wp-black-04-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"AMD Ryzen 7 7840U, Octa-core","AMD Radeon, shared memory","14"" WQXGA+ (2880 x 1800) 16:10 90 Hz",16 GB LPDDR5,1 TB SSD
Aspire 14 Laptop - A14-51M-515G,$699.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-on-black-05-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-120U, Deca-core 1.40 GHz","Intel, shared memory","14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz",16 GB LPDDR5,512 GB SSD
Swift Go 14 Laptop - SFG14-63T-R2WQ,$999.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-black-06-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"AMD Ryzen 5 8645HS, Hexa-core 4.30 GHz","AMD Radeon, shared memory","14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",8 GB LPDDR5,512 GB SSD
Aspire Vero 14 Laptop - AV14-52P-55N4,$699.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-black-08-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","14"" Full HD (1920 x 1080) 16:9 60 Hz",8 GB LPDDR4X,512 GB SSD
Swift Go 16 Laptop - SFG16-71-52SD,$699.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-nitro-v-15-anv15-51-non-fingerprint-with-backlit-black-09-1000x1000_nh.qn9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-1335U, Deca-core 1.30 GHz","Intel Iris Xe, shared memory","16"" WUXGA (1920 x 1200) 16:10 60 Hz",8 GB LPDDR5,512 GB SSD
TravelMate P2 Laptop - TMP214-41-G2-R5EB,$699.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-on-wp-start-screen-cobblestone-gray-01-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 10 Pro,"AMD Ryzen 5 PRO 5650U, Hexa-core 2.30 GHz","AMD Radeon, Gigabit Ethernet, Wi-Fi 6, Bluetooth 5.0","14"" Full HD (1920 x 1080) IPS","8 GB, standard memory",256 GB SSD
Nitro V 15 Gaming Laptop - ANV15-41-R5N6,$699.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-on-wp-cobblestone-gray-01-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"AMD Ryzen 5 7535HS, Hexa-core 3.30 GHz","NVIDIA GeForce RTX 4050, 6 GB memory","15.6"" Full HD (1920 x 1080) 16:9 IPS 144 Hz",8 GB DDR5 SDRAM,512 GB SSD
Nitro 16 Gaming Laptop - AN16-51-56VR,$799.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-wp-cobblestone-gray-02-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-13500H, Dodeca-core 2.60 GHz","NVIDIA GeForce RTX 4050, 6 GB memory","16"" WQXGA (2560 x 1600) 16:10 165 Hz",8 GB DDR5 SDRAM,512 GB SSD
Swift Go 14 Laptop - SFG14-71-52TV,$749.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-wp-cobblestone-gray-03-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core i5-1335U, Dodeca-core 1.30 GHz","Intel Iris Xe, shared memory","14"" 2.2K (2240 x 1400) 16:10 IPS 60 Hz",8 GB LPDDR5,512 GB SSD
Swift Go 14 Laptop - SFG14-72-51AQ,$749.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-on-wp-cobblestone-gray-04-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core Ultra 5 125H, Tetradeca-core","Intel ARC, shared memory","14"" WQXGA+ (2880 x 1800) 16:10 CineCrystal 90 Hz",8 GB LPDDR5,512 GB SSD
Swift Go 14 Laptop - SFG14-72-53BP,$779.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-05-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,"Intel Core Ultra 5 125H, Tetradeca-core","Intel ARC, shared memory","14"" WQXGA+ (2880 x 1800) 16:10 CineCrystal 90 Hz",16 GB LPDDR5X,512 GB SSD
Swift Go 14 Laptop - SFG14-73-58EP,$1 199.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-06-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 5 125H,Intel Arc Graphics shared memory,"14"" WQXGA+ (2880 x 1800) 16:10 CineCrystal (Glare) 90 Hz",8 GB LPDDR5,512 GB SSD
TravelMate 2 Laptop - TMP214-41-G2-R85M,$799.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-08-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 10 Pro,AMD Ryzen 7 PRO 5850U,AMD Radeon Graphics shared memory,"14"" Full HD (1920 x 1080) 16:9 IPS",8 GB DDR4 SDRAM,256 GB SSD
Aspire Spin 14 Laptop - ASP14-51MTN-733W,$799.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-09-custom_nx.ku3aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core 7 150U,Intel Iris Xe Graphics shared memory,"14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5,1 TB SSD
Swift Go 16 Laptop - SFG16-72T-57PH,$799.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-cp514-3hh-backlit-on-wallpaper-chrome-ui-sparkly-silver-01_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 5 125H,Intel ARC Graphics shared memory,"16"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5X,512 GB SSD
Travelmate P2 Laptop - TMP215-53-53ZW,$849.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3h-sparkly-silver-3.tif-custom_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Pro,Intel Core i5-1135G7,Intel Iris Xe Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9",16 GB DDR4 SDRAM,256 GB SSD
Swift Go 14 Laptop - SFG14-63T-R1F4,$849.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3h-sparkly-silver-09.tif-custom_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,AMD Ryzen 7 8845HS,AMD Radeon 780M Graphic shared memory,"14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5X,1 TB SSD
Swift X 14 Laptop - SFX14-71G-5911,$849.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-cp514-3hh-backlit-wallpaper-chrome-ui-sparkly-silver-7_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core i5-13500H,NVIDIA GeForce RTX 3050 (6 GB dedicated),"14.5"" WQXGA (2560 x 1600) 16:10 120 Hz",16 GB LPDDR5,512 GB SSD
Aspire Vero 14 Laptop - AV14-52P-77BR,$849.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3hh-sparkly-silver-8_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core i7-1355U,Intel Iris Xe Graphics eligible shared memory,"14"" Full HD (1920 x 1080) 16:9",16 GB LPDDR4X,1 TB SSD
Swift Go 16 Laptop - SFG16-72-5844,$849.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3h-sparkly-silver-6.tif-custom_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 5 125H,Intel ARC Graphics shared memory,"16"" WQXGA+ (3200 x 2000) 16:10 CineCrystal (Glare) 120 Hz",8 GB LPDDR5,512 GB SSD
Nitro 16 Gaming Laptop - AN16-41-R3ZV,$899.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3h-cp514-3hh-backlit-on-sparkly-silver-11.tif-custom_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,AMD Ryzen 5 7640HS,NVIDIA GeForce RTX 4050 (6 GB dedicated),"16"" WUXGA (1920 x 1200) IPS with NVIDIA G-SYNC & Advanced Optimus",16 GB Standard,512 GB SSD
Aspire 14 Laptop - A14-51GM-771W,$899.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-514-cp514-3h-cp514-3hh-backlit-on-sparkly-silver-13.tif-custom_nx.kb2aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core 7 150U,NVIDIA GeForce RTX 2050 (4 GB dedicated),"14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz",16 GB DDR5 SDRAM,1 TB SSD
Aspire Vero 16 Laptop - AV16-51PT-74NR,$899.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-on-wp-cobblestone-gray-01-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 7 155U,Intel ARC Graphics shared memory,"16"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5X,1 TB SSD
TravelMate P4 Laptop - TMP414-51-506U,$949.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-wp-cobblestone-gray-02-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 10 Pro,Intel Core i5-1135G7,Intel Iris Xe Graphics shared memory,"14"" Full HD (1920 x 1080) 16:9 IPS",8 GB DDR4 SDRAM,512 GB SSD
Swift Go 14 Laptop - SFG14-73T-78YK,$949.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-wp-cobblestone-gray-03-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 7 155H,Intel ARC Graphics shared memory,"14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5X,512 GB SSD
Nitro V 15 Gaming Laptop - ANV15-51-73B9,$999.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-on-wp-cobblestone-gray-04-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core i7-13620H,NVIDIA GeForce RTX 4050 (Laptop GPU),"15.6"" Full HD (1920 x 1080) IPS 60 Hz",16 GB Standard,512 GB SSD
Swift Go 14 Laptop - SFG14-72T-71QF,$999.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-05-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,Intel Core Ultra 7 155H,Intel ARC Graphics shared memory,"14"" WUXGA (1920 x 1200) 16:10 IPS 60 Hz Touchscreen",16 GB LPDDR5X,1 TB SSD
Swift Go 16 Laptop - SFG16-72T-71UL,$999.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-aspire-vero-av16-51p-51pt-with-fingerprint-with-backlit-cobblestone-gray-06-1000x1000_nx.kw9aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11 Home,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 4050 (6 GB dedicated),"16"" WUXGA (1920 x 1200) 16:10 IPS 165 Hz",8 GB DDR5 SDRAM,512 GB SSD
